2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
61.00, 128.07, 387.98, -1.00, -1.00
61.00, 128.42, 388.80, -1.00, -1.00
61.00, 128.84, 389.60, -1.00, -1.00
61.00, 129.32, 390.35, -1.00, -1.00
61.00, 129.84, 391.08, -1.00, -1.00
61.00, 130.35, 391.83, -1.00, -1.00
61.00, 130.81, 392.61, -1.00, -1.00
61.00, 131.29, 393.36, -1.00, -1.00
61.00, 131.87, 394.04, -1.00, -1.00
61.00, 132.46, 394.72, -1.00, -1.00
61.00, 132.90, 395.50, -1.00, -1.00
61.00, 133.18, 396.35, -1.00, -1.00
61.00, 133.50, 397.19, -1.00, -1.00
61.00, 134.06, 397.89, -1.00, -1.00
61.00, 134.82, 398.37, -1.00, -1.00
61.00, 135.65, 398.71, -1.00, -1.00
61.00, 136.50, 398.99, -1.00, -1.00
61.00, 137.36, 399.25, -1.00, -1.00
